Impact on Giant Component Size,Node
-6,3 Av-149 St
-6,21 St-Queensbridge
-6,149 St-Grand Concourse
-6,Roosevelt Island
-6,135 St
-6,57 St
-6,125 St
-6,47-50 Sts-Rockefeller Ctr
-6,116 St
-6,42 St-Bryant Pk
-6,Central Park North (110 St)
-6,34 St-Herald Sq
-6,Park Place
-6,23 St
-5,Fulton St
-5,14 St
-6,Wall St
-6,Broadway-Lafayette St
-6,Clark St
-6,Grand St
-6,Borough Hall
-6,2 Av
-6,Hoyt St
-6,Delancey St-Essex St
-6,Nevins St
-6,East Broadway
-6,Atlantic Av-Barclays Ctr
-6,York St
-6,Bergen St
-6,Grand Army Plaza
-6,Carroll St
-6,Eastern Pkwy-Brooklyn Museum
-6,Smith-9 Sts
-6,Franklin Av-Medgar Evers College
-6,4 Av-9 St
-6,President St-Medgar Evers College
-6,15 St-Prospect Park
-6,Sterling St
-6,Fort Hamilton Pkwy
-6,Winthrop St
-6,Church Av
-6,Ditmas Av
-6,Beverly Rd
-6,18 Av
-6,Newkirk Av-Little Haiti
-6,Avenue I
-6,Flatbush Av-Brooklyn College
-6,Bay Pkwy
-6,Nostrand Av
-6,Avenue N
-6,Kingston Av
-6,Avenue P
-6,Crown Hts-Utica Av
-6,Kings Hwy
-6,Sutter Av-Rutland Rd
-6,Avenue U
-6,Saratoga Av
-6,Avenue X
-6,Rockaway Av
-6,Neptune Av
-6,Harlem-148 St
-6,181 St
-6,145 St
-6,168 St-Washington Hts
-6,137 St-City College
-6,8 Av
-6,6 Av
-6,116 St-Columbia University
-6,14 St-Union Sq
-6,Cathedral Pkwy (110 St)
-6,3 Av
-6,103 St
-6,1 Av
-6,96 St
-6,Bedford Av
-6,86 St
-6,Lorimer St
-6,79 St
-6,Graham Av
-6,72 St
-6,66 St-Lincoln Center
-6,Montrose Av
-6,59 St-Columbus Circle
-6,Morgan Av
-6,50 St
-6,Jefferson St
-6,Times Sq-42 St
-6,DeKalb Av
-6,34 St-Penn Station
-6,Myrtle-Wyckoff Avs
-6,28 St
-6,Halsey St
-6,Wilson Av
-6,18 St
-6,Bushwick Av-Aberdeen St
-6,Christopher St-Sheridan Sq
-6,Atlantic Av
-6,Houston St
-6,Sutter Av
-6,Canal St
-6,Livonia Av
-6,Franklin St
-6,New Lots Av
-6,Chambers St
-6,East 105 St
-6,WTC Cortlandt
-6,Canarsie-Rockaway Pkwy
-6,Allerton Av
-6,Norwood-205 St
-6,Pelham Pkwy
-6,Bedford Park Blvd
-6,Bronx Park East
-6,Kingsbridge Rd
-6,E 180 St
-6,Fordham Rd
-6,West Farms Sq-E Tremont Av
-6,182-183 Sts
-6,174 St
-6,Tremont Av
-6,Freeman St
-6,174-175 Sts
-5,Simpson St
-5,170 St
-6,Intervale Av
-6,167 St
-6,Prospect Av
-6,161 St-Yankee Stadium
-6,Jackson Av
-6,155 St
-6,Rector St
-6,Franklin Av
-6,South Ferry
-6,Botanic Garden
-6,Van Cortlandt Park-242 St
-6,Marcy Av
-6,238 St
-6,Bowery
-6,231 St
-5,Marble Hill-225 St
-6,215 St
-6,Broad St
-6,138 St-Grand Concourse
-6,Wakefield-241 St
-5,233 St
-6,225 St
-6,Bowling Green
-6,219 St
-6,Woodlawn
-6,51 St
-6,Mosholu Pkwy
-6,Grand Central-42 St
-6,Bedford Park Blvd-Lehman College
-6,Astor Pl
-6,183 St
-6,Bleecker St
-6,Burnside Av
-6,Spring St
-6,176 St
-6,Mt Eden Av
-6,Brooklyn Bridge-City Hall
-6,207 St
-6,Middle Village-Metropolitan Av
-6,Dyckman St
-6,Fresh Pond Rd
-6,191 St
-6,Forest Av
-6,Seneca Av
-6,157 St
-6,Knickerbocker Av
-6,Central Av
-6,Junius St
-6,Jamaica-179 St
-6,Pennsylvania Av
-6,169 St
-6,Van Siclen Av
-6,Parsons Blvd
-6,Sutphin Blvd
-6,Beach 98 St
-6,Nereid Av
-6,Beach 67 St
-5,Beach 60 St
-6,Beach 44 St
-6,Beach 36 St
-6,Gun Hill Rd
-6,Beach 25 St
-6,Burke Av
-6,Far Rockaway-Mott Av
-6,Eastchester-Dyre Av
-6,St George
-6,Baychester Av
-6,Tompkinsville
-6,Stapleton
-6,Clifton
-6,Morris Park
-6,Grasmere
