trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1725163200_7..S,024000_7..S,7,1,1725163200,07 0400 MST/34H,1725179949,1725179957,1085,0,0
1725163200_GS.N01R,024000_GS.N01R,GS,0,1725163200,0S 0400  GCS/TSS,1725177669,1725177684,512,0,0
1725163320_2..S33X001,024200_2..S33X001,2,1,1725163320,02 0402  241/3RD,1725179702,1725179709,1007,0,0
1725163320_5..S32R,024200_5..S32R,5,1,1725163320,05 0402  DYR/180,1725178367,1725178374,686,0,0
1725163350_2..S08X006,024250_2..S08X006,2,1,1725163350,02 0402+ 96S/FLA,1725181337,1725181347,1415,0,0
1725163380_5..N32X001,024300_5..N32X001,5,0,1725163380,05 0403  180/DYR,1725178517,1725178524,726,0,0
1725163410_GS.S01R,024350_GS.S01R,GS,1,1725163410,0S 0403+ TSS/GCS,1725177887,1725177894,558,0,0
1725163440_2..N33X001,024400_2..N33X001,2,0,1725163440,02 0404  3RD/241,1725179739,1725179747,932,0,0
1725163560_1..S03R,024600_1..S03R,1,1,1725163560,01 0406  242/SFT,1725181172,1725181182,1291,0,0
1725163710_4..N13R,024850_4..N13R,4,0,1725163710,04 0408+ NLT/WDL,1725183692,1725183702,1901,0,0
1725163800_GS.N01R,025000_GS.N01R,GS,0,1725163800,0S 0410  GCS/TSS,1725178269,1725178277,500,0,0
1725163890_2..N08X008,025150_2..N08X008,2,0,1725163890,02 0411+ FLA/96S,1725181647,1725181652,1367,0,0
1725163920_1..N03R,025200_1..N03R,1,0,1725163920,01 0412  SFT/242,1725181682,1725181692,1423,0,0
1725163950_2..S08X006,025250_2..S08X006,2,1,1725163950,E2 0412+ 96S/FLA,1725181772,1725181782,1003,0,0
1725163950_6..N01X027,025250_6..N01X027,6,0,1725163950,06 0412+ BBR/PEL,1725181907,1725181917,1407,0,0
1725164010_GS.S01R,025350_GS.S01R,GS,1,1725164010,0S 0413+ TSS/GCS,1725178502,1725178509,562,0,0
1725164040_4..S13R,025400_4..S13R,4,1,1725164040,04 0414  WDL/NLT,1725183902,1725183912,1797,0,0
1725164190_7..N,025650_7..N,7,0,1725164190,07 0416+ 34H/MST,1725180864,1725180872,1061,0,0
1725164370_6..S01R,025950_6..S01R,6,1,1725164370,06 0419+ PEL/BBR,1725182582,1725182592,1405,0,0
1725164400_7..S,026000_7..S,7,1,1725164400,07 0420 MST/34H,1725180977,1725180987,1035,0,0
1725164400_GS.N01R,026000_GS.N01R,GS,0,1725164400,0S 0420  GCS/TSS,1725178884,1725178892,504,0,0
1725164520_2..S33X001,026200_2..S33X001,2,1,1725164520,02 0422  241/3RD,1725180812,1725180819,955,0,0
1725164520_5..S32R,026200_5..S32R,5,1,1725164520,05 0422  DYR/180,1725179559,1725179567,652,0,0
1725164550_2..S08X006,026250_2..S08X006,2,1,1725164550,02 0422+ 96S/FLA,1725182787,1725182792,1416,0,0
1725164580_5..N32X001,026300_5..N32X001,5,0,1725164580,05 0423  180/DYR,1725179702,1725179709,687,0,0
1725164610_GS.S01R,026350_GS.S01R,GS,1,1725164610,0S 0423+ TSS/GCS,1725179094,1725179102,556,0,0
1725164640_2..N33X001,026400_2..N33X001,2,0,1725164640,02 0424  3RD/241,1725181017,1725181022,929,0,0
1725164760_1..S03R,026600_1..S03R,1,1,1725164760,01 0426  242/SFT,1725182637,1725182642,1332,0,0
1725164910_4..N13R,026850_4..N13R,4,0,1725164910,04 0428+ NLT/WDL,1725184712,1725184727,1821,0,0
1725165000_GS.N01R,027000_GS.N01R,GS,0,1725165000,0S 0430  GCS/TSS,1725179477,1725179484,472,0,0
1725165090_2..N08X008,027150_2..N08X008,2,0,1725165090,02 0431+ FLA/96S,1725182657,1725182667,1258,0,0
1725165120_1..N03R,027200_1..N03R,1,0,1725165120,01 0432  SFT/242,1725183017,1725183027,1382,0,0
1725165150_6..N01X027,027250_6..N01X027,6,0,1725165150,06 0432+ BBR/PEL,1725182882,1725182892,1318,0,0
1725165210_GS.S01R,027350_GS.S01R,GS,1,1725165210,0S 0433+ TSS/GCS,1725179672,1725179679,524,0,0
1725165240_4..S13R,027400_4..S13R,4,1,1725165240,04 0434  WDL/NLT,1725184772,1725184787,1691,0,0
1725165390_7..N,027650_7..N,7,0,1725165390,07 0436+ 34H/MST,1725181797,1725181802,1019,0,0
1725165570_6..S01R,027950_6..S01R,6,1,1725165570,06 0439+ PEL/BBR,1725183782,1725183792,1387,0,0
1725165600_7..S,028000_7..S,7,1,1725165600,07 0440 MST/34H,1725182327,1725182337,1085,0,0
1725165600_GS.N01R,028000_GS.N01R,GS,0,1725165600,0S 0440  GCS/TSS,1725180084,1725180092,463,0,0
1725165720_2..S33X001,028200_2..S33X001,2,1,1725165720,02 0442  241/3RD,1725181937,1725181947,957,0,0
1725165720_5..S32R,028200_5..S32R,5,1,1725165720,05 0442  DYR/180,1725180752,1725180759,641,0,0
1725165750_2..S08X006,028250_2..S08X006,2,1,1725165750,02 0442+ 96S/FLA,1725183827,1725183837,1399,0,0
1725165780_5..N32X001,028300_5..N32X001,5,0,1725165780,05 0443  180/DYR,1725180932,1725180942,689,0,0
1725165810_GS.S01R,028350_GS.S01R,GS,1,1725165810,0S 0443+ TSS/GCS,1725180272,1725180279,513,0,0
1725165840_2..N33X001,028400_2..N33X001,2,0,1725165840,02 0444  3RD/241,1725182402,1725182412,1001,0,0
1725165960_1..S03R,028600_1..S03R,1,1,1725165960,01 0446  242/SFT,1725264001,1725264008,16015,0,0
1725166110_4..N13R,028850_4..N13R,4,0,1725166110,04 0448+ NLT/WDL,1725185672,1725185687,1651,0,0
1725166200_GS.N01R,029000_GS.N01R,GS,0,1725166200,0S 0450  GCS/TSS,1725180677,1725180684,461,0,0
1725166290_2..N08X008,029150_2..N08X008,2,0,1725166290,02 0451+ FLA/96S,1725183912,1725183917,1261,0,0
1725166320_1..N03R,029200_1..N03R,1,0,1725166320,01 0452  SFT/242,1725184182,1725184187,1333,0,0
1725166350_6..N01X027,029250_6..N01X027,6,0,1725166350,06 0452+ BBR/PEL,1725184212,1725184217,1341,0,0
1725166410_GS.S01R,029350_GS.S01R,GS,1,1725166410,0S 0453+ TSS/GCS,1725180872,1725180882,513,0,0
1725166440_4..S13R,029400_4..S13R,4,1,1725166440,04 0454  WDL/NLT,1725186257,1725186272,1569,0,0
1725166560_1..S03R,029600_1..S03R,1,1,1725166560,01 0456  242/SFT,1725184472,1725184487,1172,0,0
1725166590_7..N,029650_7..N,7,0,1725166590,07 0456+ 34H/MST,1725183312,1725183317,1073,0,0
1725166770_6..S01R,029950_6..S01R,6,1,1725166770,06 0459+ PEL/BBR,1725184622,1725184637,1303,0,0
1725166800_7..S,030000_7..S,7,1,1725166800,07 0500 MST/34H,1725183377,1725183387,1031,0,0
1725166800_GS.N01R,030000_GS.N01R,GS,0,1725166800,0S 0500  GCS/TSS,1725181277,1725181287,493,0,0
1725166860_2..S33X001,030100_2..S33X001,2,1,1725166860,02 0501  241/3RD,1725182997,1725183002,920,0,0
1725166920_5..S32R,030200_5..S32R,5,1,1725166920,05 0502  DYR/180,1725182057,1725182067,701,0,0
1725166950_2..S08X006,030250_2..S08X006,2,1,1725166950,02 0502+ 96S/FLA,1725184742,1725184757,1319,0,0
1725166980_5..N32X001,030300_5..N32X001,5,0,1725166980,05 0503  180/DYR,1725182102,1725182112,713,0,0
1725167010_GS.S01R,030350_GS.S01R,GS,1,1725167010,0S 0503+ TSS/GCS,1725181472,1725181482,545,0,0
1725167040_2..N33X001,030400_2..N33X001,2,0,1725167040,02 0504  3RD/241,1725183512,1725183522,947,0,0
1725167310_4..N13R,030850_4..N13R,4,0,1725167310,04 0508+ NLT/WDL,1725187007,1725187022,1541,0,0
